word_or_phrase,definition,etymology,english_cognates,related_words,language
français,[To be translated],Found 215 times across documents,,,french
passé,[To be translated],Found 200 times across documents,,,french
peut,[To be translated],Found 171 times across documents,,,french
temps,[To be translated],Found 148 times across documents,,,french
the,[To be translated],Found 145 times across documents,,,french
mot,[To be translated],Found 136 times across documents,,,french
suis,[To be translated],Found 132 times across documents,,,french
fait,[To be translated],Found 126 times across documents,,,french
expression,[To be translated],Found 118 times across documents,,,french
ont,[To be translated],Found 117 times across documents,,,french
mots,[To be translated],Found 112 times across documents,,,french
vie,[To be translated],Found 108 times across documents,,,french
anglais,[To be translated],Found 101 times across documents,,,french
été,[To be translated],Found 98 times across documents,,,french
dit,[To be translated],Found 97 times across documents,,,french
souvent,[To be translated],Found 96 times across documents,,,french
phrases,[To be translated],Found 95 times across documents,,,french
peuvent,[To be translated],Found 88 times across documents,,,french
avez,[To be translated],Found 84 times across documents,,,french
expressions,[To be translated],Found 80 times across documents,,,french
avons,[To be translated],Found 79 times across documents,,,french
with,[To be translated],Found 79 times across documents,,,french
and,[To be translated],Found 77 times across documents,,,french
composé,[To be translated],Found 75 times across documents,,,french
exemple,[To be translated],Found 74 times across documents,,,french
prononciation,[To be translated],Found 70 times across documents,,,french
sens,[To be translated],Found 69 times across documents,,,french
you,[To be translated],Found 69 times across documents,,,french
paris,[To be translated],Found 68 times across documents,,,french
futur,[To be translated],Found 67 times across documents,,,french
origine,[To be translated],Found 65 times across documents,,,french
contexte,[To be translated],Found 64 times across documents,,,french
subjonctif,[To be translated],Found 64 times across documents,,,french
simple,[To be translated],Found 63 times across documents,,,french
comment,[To be translated],Found 62 times across documents,,,french
compris,[To be translated],Found 61 times across documents,,,french
action,[To be translated],Found 60 times across documents,,,french
apparentés,[To be translated],Found 59 times across documents,,,french
verbe,[To be translated],Found 58 times across documents,,,french
deux,[To be translated],Found 57 times across documents,,,french
pris,[To be translated],Found 57 times across documents,,,french
avais,[To be translated],Found 57 times across documents,,,french
leçon,[To be translated],Found 56 times across documents,,,french
monde,[To be translated],Found 56 times across documents,,,french
mis,[To be translated],Found 56 times across documents,,,french
utilisé,[To be translated],Found 55 times across documents,,,french
signifie,[To be translated],Found 55 times across documents,,,french
écrit,[To be translated],Found 55 times across documents,,,french
latin,[To be translated],Found 54 times across documents,,,french
cela,[To be translated],Found 52 times across documents,,,french
dire,[To be translated],Found 51 times across documents,,,french
exercice,[To be translated],Found 51 times across documents,,,french
france,[To be translated],Found 50 times across documents,,,french
française,[To be translated],Found 50 times across documents,,,french
présent,[To be translated],Found 50 times across documents,,,french
french,[To be translated],Found 50 times across documents,,,french
reçu,[To be translated],Found 50 times across documents,,,french
cru,[To be translated],Found 50 times across documents,,,french
travail,[To be translated],Found 49 times across documents,,,french
idée,[To be translated],Found 49 times across documents,,,french
voulu,[To be translated],Found 49 times across documents,,,french
connu,[To be translated],Found 49 times across documents,,,french
vient,[To be translated],Found 48 times across documents,,,french
tenu,[To be translated],Found 48 times across documents,,,french
for,[To be translated],Found 48 times across documents,,,french
liberté,[To be translated],Found 47 times across documents,,,french
étymologie,[To be translated],Found 47 times across documents,,,french
terme,[To be translated],Found 47 times across documents,,,french
not,[To be translated],Found 47 times across documents,,,french
conditionnel,[To be translated],Found 47 times across documents,,,french
chose,[To be translated],Found 46 times across documents,,,french
nom,[To be translated],Found 46 times across documents,,,french
exercise,[To be translated],Found 46 times across documents,,,french
permet,[To be translated],Found 45 times across documents,,,french
parler,[To be translated],Found 45 times across documents,,,french
langue,[To be translated],Found 45 times across documents,,,french
verbes,[To be translated],Found 45 times across documents,,,french
sais,[To be translated],Found 44 times across documents,,,french
aurais,[To be translated],Found 44 times across documents,,,french
prendre,[To be translated],Found 43 times across documents,,,french
quelqu,[To be translated],Found 42 times across documents,,,french
allé,[To be translated],Found 42 times across documents,,,french
ressources,[To be translated],Found 41 times across documents,,,french
vocabulaire,[To be translated],Found 41 times across documents,,,french
antérieur,[To be translated],Found 41 times across documents,,,french
santé,[To be translated],Found 40 times across documents,,,french
comprendre,[To be translated],Found 40 times across documents,,,french
histoire,[To be translated],Found 40 times across documents,,,french
points,[To be translated],Found 39 times across documents,,,french
venu,[To be translated],Found 39 times across documents,,,french
imparfait,[To be translated],Found 39 times across documents,,,french
bon,[To be translated],Found 38 times across documents,,,french
eus,[To be translated],Found 38 times across documents,,,french
eau,[To be translated],Found 37 times across documents,,,french
mode,[To be translated],Found 37 times across documents,,,french
signifiant,[To be translated],Found 37 times across documents,,,french
aide,[To be translated],Found 36 times across documents,,,french
manière,[To be translated],Found 36 times across documents,,,french
liaison,[To be translated],Found 36 times across documents,,,french
place,[To be translated],Found 35 times across documents,,,french
utilisation,[To be translated],Found 34 times across documents,,,french
sommes,[To be translated],Found 34 times across documents,,,french
peux,[To be translated],Found 34 times across documents,,,french
veux,[To be translated],Found 34 times across documents,,,french
