french_text,frequency,english_translation,context
français,153,,
passé,133,,
temps,92,,
fait,91,,
mot,91,,
peut,85,,
expression,81,,
mots,78,,
ont,77,,
été,77,,
dit,73,,
anglais,73,,
vie,69,,
souvent,67,,
avons,66,,
avez,65,,
subjonctif,62,,
futur,59,,
simple,55,,
mis,54,,
pris,54,,
écrit,54,,
exemple,53,,
compris,53,,
sens,52,,
the,51,,
cru,49,,
avais,48,,
voulu,48,,
tenu,48,,
connu,48,,
reçu,48,,
apparentés,47,,
conditionnel,47,,
origine,46,,
contexte,46,,
signifie,46,,
peuvent,45,,
action,45,,
prononciation,43,,
utilisé,43,,
france,42,,
deux,41,,
latin,41,,
antérieur,41,,
monde,40,,
chose,40,,
aurais,40,,
française,39,,
présent,39,,
cela,38,,
idée,38,,
eus,38,,
terme,37,,
langue,37,,
verbe,37,,
phrases,36,,
leçon,35,,
étymologie,35,,
vient,35,,
comprendre,34,,
travail,33,,
venu,32,,
gpt,32,,
allé,32,,
signifiant,31,,
équivalent,30,,
prendre,29,,
quelqu,29,,
mode,29,,
expressions,29,,
composé,29,,
ailleurs,29,,
pourquoi,28,,
vocabulaire,27,,
décrire,27,,
histoire,27,,
langage,27,,
manière,26,,
jours,26,,
utilisation,24,,
aurait,24,,
avait,24,,
parfait,24,,
imparfait,24,,
soutenu,24,,
liberté,23,,
sujets,23,,
santé,23,,
suis,23,,
pourrait,23,,
culture,22,,
nouvelle,22,,
termes,22,,
ait,22,,
couches,22,,
permet,21,,
sociaux,21,,
aide,21,,
comment,21,,
faut,21,,
aurai,21,,
impératif,21,,
aie,21,,
aura,21,,
points,20,,
ressources,20,,
mieux,20,,
parler,20,,
pays,20,,
mettre,20,,
niveau,20,,
paris,20,,
allés,20,,
ayons,20,,
ayez,20,,
place,19,,
petit,19,,
pratiquer,19,,
celle,19,,
art,19,,
lieu,19,,
louer,19,,
avions,19,,
aviez,19,,
avaient,19,,
eûmes,19,,
eûtes,19,,
eurent,19,,
auras,19,,
aurons,19,,
aurez,19,,
auront,19,,
aurions,19,,
auriez,19,,
auraient,19,,
aies,19,,
aient,19,,
parc,19,,
exprimer,18,,
sociales,18,,
sociale,18,,
aujourd,18,,
hui,18,,
formel,18,,
provient,18,,
moment,18,,
maison,18,,
couche,18,,
eut,18,,
venus,18,,
voici,17,,
donner,17,,
situation,17,,
usage,17,,
celui,17,,
grand,17,,
pronoms,17,,
doit,16,,
nouvelles,16,,
esprit,16,,
système,16,,
apprendre,16,,
beauté,16,,
phrase,16,,
dire,16,,
ancien,16,,
sons,16,,
idées,15,,
créer,15,,
permettent,15,,
apprentissage,15,,
ville,15,,
résumé,15,,
eau,15,,
proche,15,,
état,15,,
amis,15,,
adjectif,15,,
serait,15,,
équivalente,15,,
homme,15,,
sommes,15,,
choses,15,,
dois,15,,
forme,14,,
mal,14,,
davantage,14,,
accès,14,,
information,14,,
gens,14,,
face,14,,
grande,14,,
aime,14,,
personnes,14,,
siècle,14,,
liée,14,,
vieux,14,,
pense,14,,
lors,14,,
enfants,14,,
nom,14,,
utilisée,14,,
amour,14,,
seulement,14,,
peux,14,,
orléans,14,,
démonstratifs,14,,
cours,13,,
stress,13,,
améliorer,13,,
devrait,13,,
culturelle,13,,
questions,13,,
femme,13,,
plutôt,13,,
contextes,13,,
jour,13,,
lire,13,,
location,13,,
éloges,13,,
utilise,13,,
national,13,,
corey,12,,
diversité,12,,
parfois,12,,
éducation,12,,
meilleure,12,,
entraîner,12,,
rapide,12,,
question,12,,
économique,12,,
vacances,12,,
compréhension,12,,
créativité,12,,
situations,12,,
désigne,12,,
travailler,12,,
heures,12,,
étais,12,,
évolution,12,,
linguistique,12,,
dérivé,12,,
imagine,12,,
sais,12,,
creux,12,,
projections,12,,
public,11,,
réseaux,11,,
inégalités,11,,
innovation,11,,
qualité,11,,
favorise,11,,
manque,11,,
importance,11,,
environnement,11,,
réflexion,11,,
nouveaux,11,,
passe,11,,
nombre,11,,
corps,11,,
trouve,11,,
position,11,,
coup,11,,
moments,11,,
technologie,11,,
lorsqu,11,,
nouveau,11,,
fais,11,,
placer,11,,
valeur,11,,
livres,11,,
lego,11,,
veux,11,,
dis,11,,
pratique,10,,
informations,10,,
chacun,10,,
fois,10,,
opportunités,10,,
offrent,10,,
ceux,10,,
ligne,10,,
espace,10,,
air,10,,
notamment,10,,
signifiait,10,,
bonne,10,,
film,10,,
énergie,10,,
ans,10,,
année,10,,
équivalentes,10,,
culturels,10,,
principalement,10,,
image,10,,
actions,10,,
féminin,10,,
évolué,10,,
états,10,,
unis,10,,
maintenant,10,,
connais,10,,
masculin,10,,
that,10,,
malentendus,10,,
and,10,,
seul,10,,
connaître,10,,
chanson,10,,
soleil,10,,
devoirs,10,,
êtes,10,,
vois,10,,
prends,10,,
tenir,10,,
paroles,10,,
limites,9,,
discours,9,,
formes,9,,
risque,9,,
critique,9,,
urbanisation,9,,
isolement,9,,
impact,9,,
société,9,,
réduire,9,,
croissance,9,,
vue,9,,
lié,9,,
transports,9,,
villes,9,,
élevé,9,,
grandes,9,,
épisode,9,,
partie,9,,
sujet,9,,
cœur,9,,
spécifiques,9,,
reste,9,,
général,9,,
désigner,9,,
quotidienne,9,,
différents,9,,
one,9,,
faites,9,,
musique,9,,
voyage,9,,
endroit,9,,
janvier,9,,
soit,9,,
participe,9,,
ensemble,9,,
courant,9,,
généralement,9,,
mouvement,9,,
formels,9,,
colère,9,,
time,9,,
rend,9,,
façon,9,,
films,9,,
utiliser,9,,
existe,9,,
évoque,9,,
voit,9,,
tableaux,9,,
octobre,9,,
viens,9,,
tiens,9,,
rechercher,9,,
ceci,9,,
informel,9,,
porte,9,,
claire,9,,
introduire,9,,
orage,9,,
unique,8,,
internet,8,,
favoriser,8,,
renforcer,8,,
gouvernements,8,,
problèmes,8,,
pression,8,,
naturelles,8,,
gestion,8,,
activités,8,,
philosophie,8,,
productivité,8,,
cas,8,,
directement,8,,
services,8,,
raison,8,,
lien,8,,
trois,8,,
frais,8,,
années,8,,
gérer,8,,
tête,8,,
relations,8,,
événements,8,,
transport,8,,
individuels,8,,
attention,8,,
nombreuses,8,,
réalité,8,,
hugo,8,,
congés,8,,
rtt,8,,
semaine,8,,
langues,8,,
exemples,8,,
latine,8,,
développement,8,,
apparenté,8,,
traduction,8,,
associé,8,,
passer,8,,
signifier,8,,
métaphore,8,,
référence,8,,
belle,8,,
doivent,8,,
signification,8,,
mets,8,,
indiquer,8,,
lis,8,,
viennent,8,,
tour,8,,
serais,8,,
future,8,,
cuisine,8,,
mois,8,,
disent,8,,
comprends,8,,
pain,8,,
orages,8,,
séjour,8,,
février,7,,
absence,7,,
politique,7,,
dix,7,,
logement,7,,
professionnelle,7,,
sentiment,7,,
cohésion,7,,
cultures,7,,
perspectives,7,,
efficacité,7,,
regarde,7,,
youtube,7,,
entreprises,7,,
nuire,7,,
utilisés,7,,
outils,7,,
forte,7,,
soins,7,,
perte,7,,
chaleur,7,,
rythme,7,,
différence,7,,
tensions,7,,
particulier,7,,
employé,7,,
entreprise,7,,
liste,7,,
besoin,7,,
homard,7,,
regarder,7,,
matin,7,,
habitudes,7,,
livre,7,,
chatgpt,7,,
lumière,7,,
jusqu,7,,
issu,7,,
chance,7,,
indiquant,7,,
accent,7,,
avenir,7,,
littéralement,7,,
foudre,7,,
with,7,,
différentes,7,,
facile,7,,
terre,7,,
couple,7,,
préfère,7,,
voiture,7,,
acheter,7,,
aider,7,,
organiser,7,,
met,7,,
écouter,7,,
ajouter,7,,
chaleureuse,7,,
fil,7,,
spécifique,7,,
french,7,,
schémas,7,,
trouver,7,,
près,7,,
précis,7,,
sois,7,,
allons,7,,
pouvez,7,,
écrire,7,,
écris,7,,
reçois,7,,
crois,7,,
ronds,7,,
début,7,,
café,7,,
vent,7,,
exercices,7,,
lune,7,,
opinions,6,,
ordre,6,,
éviter,6,,
débat,6,,
limiter,6,,
censure,6,,
groupes,6,,
pollution,6,,
distance,6,,
flexibilité,6,,
privée,6,,
mise,6,,
interactions,6,,
solutions,6,,
écologiques,6,,
voyager,6,,
découvrir,6,,
capacité,6,,
individu,6,,
permettant,6,,
voix,6,,
personnelles,6,,
intérêt,6,,
artistique,6,,
recherche,6,,
empreinte,6,,
vivre,6,,
expérience,6,,
première,6,,
urgence,6,,
également,6,,
deuxième,6,,
défis,6,,
pénurie,6,,
avis,6,,
appelle,6,,
rapport,6,,
eux,6,,
résoudre,6,,
réduction,6,,
long,6,,
communication,6,,
travaillent,6,,
petites,6,,
chocolat,6,,
pouvons,6,,
responsabilité,6,,
adopter,6,,
efforts,6,,
rendant,6,,
changements,6,,
nécessaires,6,,
compte,6,,
humain,6,,
devons,6,,
storyworth,6,,
environ,6,,
médias,6,,
agit,6,,
remonte,6,,
loti,6,,
reconnaître,6,,
uniques,6,,
changement,6,,
notion,6,,
nuit,6,,
qualités,6,,
femmes,6,,
reflète,6,,
actuelles,6,,
devenir,6,,
domaines,6,,
moderne,6,,
populaire,6,,
style,6,,
œuvres,6,,
moyen,6,,
extension,6,,
respect,6,,
groupe,6,,
celles,6,,
rendre,6,,
complexes,6,,
comprend,6,,
flâner,6,,
attitude,6,,
décembre,6,,
maintenir,6,,
plupart,6,,
beau,6,,
envers,6,,
faisant,6,,
doute,6,,
bon,6,,
chien,6,,
lit,6,,
plaisir,6,,
douce,6,,
vont,6,,
font,6,,
prend,6,,
ambiance,6,,
faisons,6,,
sait,6,,
train,6,,
mettez,6,,
étroitement,6,,
verre,6,,
incluent,6,,
fonction,6,,
texte,6,,
ensuite,6,,
places,6,,
ombre,6,,
château,6,,
linge,6,,
produit,6,,
voudrais,6,,
jazz,6,,
genre,6,,
mardi,6,,
pleut,6,,
out,6,,
liaison,6,,
sortir,6,,
verbes,6,,
fus,6,,
allez,6,,
veut,6,,
comprennent,6,,
recevoir,6,,
carré,6,,
populaires,6,,
cinéma,6,,
démonstratif,6,,
heure,6,,
loin,6,,
rêverie,6,,
paul,6,,
enfiler,6,,
auto,5,,
désinformation,5,,
protéger,5,,
économiques,5,,
mentale,5,,
physique,5,,
télétravail,5,,
politiques,5,,
nécessité,5,,
pause,5,,
durable,5,,
élèves,5,,
enjeux,5,,
essor,5,,
avancées,5,,
adapter,5,,
social,5,,
contenu,5,,
consommation,5,,
excessive,5,,
plaît,5,,
modernes,5,,
confort,5,,
publics,5,,
coût,5,,
entier,5,,
locale,5,,
créant,5,,
partage,5,,
personnel,5,,
prise,5,,
charge,5,,
donne,5,,
assurance,5,,
fonctionne,5,,
individuelle,5,,
connaît,5,,
demande,5,,
problème,5,,
employés,5,,
propre,5,,
cause,5,,
domicile,5,,
divers,5,,
objectifs,5,,
salariés,5,,
possible,5,,
supplémentaires,5,,
have,5,,
enfant,5,,
well,5,,
soir,5,,
parlez,5,,
françaises,5,,
météorologiques,5,,
loisirs,5,,
libre,5,,
sport,5,,
concerne,5,,
choix,5,,
sources,5,,
vélo,5,,
choisir,5,,
prix,5,,
tient,5,,
comportement,5,,
humains,5,,
surtout,5,,
grèves,5,,
montre,5,,
semaines,5,,
europe,5,,
perçue,5,,
accord,5,,
lot,5,,
croquer,5,,
pleine,5,,
dents,5,,
émotions,5,,
normes,5,,
apparence,5,,
locales,5,,
éléments,5,,
profondément,5,,
parties,5,,
émotion,5,,
parents,5,,
intégrer,5,,
anglicismes,5,,
concept,5,,
vaut,5,,
premier,5,,
riche,5,,
équilibre,5,,
pluriel,5,,
professionnels,5,,
make,5,,
life,5,,
enseigner,5,,
reconnaissance,5,,
concentrer,5,,
éclair,5,,
significations,5,,
intensité,5,,
événement,5,,
concurrentiel,5,,
flânerie,5,,
connexion,5,,
simples,5,,
personnelle,5,,
habitude,5,,
retour,5,,
importantes,5,,
court,5,,
parce,5,,
juste,5,,
ami,5,,
déluge,5,,
don,5,,
this,5,,
but,5,,
fer,5,,
step,5,,
suivre,5,,
échec,5,,
informatique,5,,
famille,5,,
feu,5,,
école,5,,
afin,5,,
intéressant,5,,
effort,5,,
erreur,5,,
garder,5,,
nouvel,5,,
scène,5,,
changer,5,,
difficiles,5,,
objectif,5,,
international,5,,
chaud,5,,
synonyme,5,,
ajoute,5,,
tellement,5,,
louant,5,,
laudare,5,,
dessus,5,,
week,5,,
poussins,5,,
quartiers,5,,
côté,5,,
figuré,5,,
symbolisant,5,,
trinquer,5,,
adore,5,,
millions,5,,
milieu,5,,
voitures,5,,
souvenir,5,,
projection,5,,
soient,5,,
mettons,5,,
novembre,5,,
like,5,,
mettent,5,,
nord,5,,
will,5,,
argent,5,,
demain,5,,
exceptions,5,,
achevée,5,,
irréguliers,5,,
déjeuner,5,,
voulez,5,,
voyons,5,,
voyez,5,,
voient,5,,
venons,5,,
venez,5,,
devez,5,,
prenons,5,,
prenez,5,,
prennent,5,,
lisez,5,,
croire,5,,
inventé,5,,
baguette,5,,
boulangerie,5,,
jardin,5,,
part,5,,
faits,5,,
coin,5,,
rue,5,,
passages,5,,
pierre,5,,
dialogues,5,,
vêtements,5,,
planifier,5,,
appartement,5,,
direct,5,,
argument,5,,
coincé,5,,
singulier,5,,
informels,5,,
errer,5,,
reverie,5,,
prince,5,,
articles,5,,
traduit,5,,
introduce,5,,
pluie,5,,
parti,5,,
articulation,5,,
élision,5,,
chansons,5,,
voyelles,5,,
fin,5,,
onglet,5,,
opinion,4,,
propos,4,,
régulation,4,,
nécessaire,4,,
troubles,4,,
abus,4,,
cadre,4,,
humour,4,,
partager,4,,
clair,4,,
individus,4,,
jeunes,4,,
lois,4,,
discuter,4,,
culturelles,4,,
améliore,4,,
réduit,4,,
travers,4,,
source,4,,
bénévolat,4,,
justifient,4,,
déconnexion,4,,
résistance,4,,
enrichissant,4,,
ouvre,4,,
matières,4,,
pratiques,4,,
préparer,4,,
risques,4,,
matière,4,,
confidentialité,4,,
données,4,,
technologies,4,,
réel,4,,
vite,4,,
entraînant,4,,
mouvements,4,,
développer,4,,
divertissement,4,,
encourager,4,,
institutions,4,,
manipuler,4,,
injustices,4,,
numériques,4,,
familier,4,,
vérité,4,,
meilleures,4,,
hôpitaux,4,,
enrichit,4,,
trajets,4,,
quotidiens,4,,
parcs,4,,
expansion,4,,
concentration,4,,
besoins,4,,
intelligentes,4,,
dépendance,4,,
médical,4,,
urgences,4,,
hospitalier,4,,
maladie,4,,
mutuelle,4,,
complète,4,,
économie,4,,
disponibilité,4,,
indique,4,,
salarié,4,,
avantages,4,,
confiance,4,,
implique,4,,
émissions,4,,
possibilité,4,,
calme,4,,
déplacer,4,,
neige,4,,
repas,4,,
météo,4,,
photographie,4,,
fêtes,4,,
moyens,4,,
utilisez,4,,
privilégier,4,,
produits,4,,
comportements,4,,
échelle,4,,
êtres,4,,
devraient,4,,
relation,4,,
stéréotypes,4,,
courante,4,,
plein,4,,
âge,4,,
suite,4,,
durée,4,,
types,4,,
garage,4,,
vidéo,4,,
artistiques,4,,
inciter,4,,
réponse,4,,
attirer,4,,
sexe,4,,
porter,4,,
formé,4,,
réalités,4,,
nuances,4,,
culturel,4,,
tandis,4,,
identité,4,,
traditionnels,4,,
patrimoine,4,,
générations,4,,
rapidement,4,,
peine,4,,
droit,4,,
conflits,4,,
autour,4,,
condition,4,,
partir,4,,
suffixe,4,,
coloniale,4,,
réconciliation,4,,
expliquer,4,,
erreurs,4,,
sociétés,4,,
histoires,4,,
négatif,4,,
émotionnelle,4,,
racine,4,,
lightning,4,,
sombre,4,,
autrui,4,,
approche,4,,
ralentir,4,,
sud,4,,
serions,4,,
croit,4,,
arrière,4,,
peur,4,,
back,4,,
vendeur,4,,
agréable,4,,
île,4,,
travaille,4,,
acte,4,,
amérique,4,,
grands,4,,
puis,4,,
agréables,4,,
stratégies,4,,
obliques,4,,
accepter,4,,
recommande,4,,
podcasts,4,,
important,4,,
conseils,4,,
fatigué,4,,
désignait,4,,
petite,4,,
note,4,,
documents,4,,
base,4,,
adverbe,4,,
foyer,4,,
lisant,4,,
blague,4,,
troisième,4,,
gladys,4,,
métaphoriquement,4,,
placez,4,,
disposition,4,,
temporaire,4,,
acheté,4,,
pronom,4,,
examiner,4,,
objet,4,,
garde,4,,
féru,4,,
presque,4,,
fort,4,,
agisse,4,,
boire,4,,
rouge,4,,
commence,4,,
contes,4,,
nombres,4,,
chat,4,,
mathématiques,4,,
blocs,4,,
détails,4,,
courtes,4,,
complexité,4,,
aident,4,,
parking,4,,
vides,4,,
tableau,4,,
dinosaure,4,,
simplifier,4,,
pièces,4,,
buanderie,4,,
simplement,4,,
prochaine,4,,
musée,4,,
georges,4,,
moutons,4,,
connotation,4,,
agir,4,,
panurge,4,,
symbole,4,,
hypothèse,4,,
arrive,4,,
incertaine,4,,
journal,4,,
jeudi,4,,
arbres,4,,
passée,4,,
littérature,4,,
ferais,4,,
antérieure,4,,
serai,4,,
soyons,4,,
soyez,4,,
vais,4,,
vas,4,,
voulons,4,,
veulent,4,,
savons,4,,
savez,4,,
savent,4,,
devrais,4,,
disons,4,,
dites,4,,
tenons,4,,
tenez,4,,
tiennent,4,,
comprenons,4,,
comprenez,4,,
connaissons,4,,
connaissez,4,,
connaissent,4,,
lisons,4,,
lisent,4,,
écrivons,4,,
écrivez,4,,
écrivent,4,,
recevons,4,,
recevez,4,,
reçoivent,4,,
croyons,4,,
croyez,4,,
croient,4,,
mépris,4,,
arrivé,4,,
parisiens,4,,
beurre,4,,
nombreux,4,,
possède,4,,
région,4,,
quatre,4,,
charles,4,,
conçu,4,,
restaurants,4,,
artistes,4,,
restaurant,4,,
étoiles,4,,
célèbre,4,,
vaudou,4,,
supplémentaire,4,,
situé,4,,
mètres,4,,
abrite,4,,
nature,4,,
haut,4,,
bois,4,,
arches,4,,
arbre,4,,
traditionnelles,4,,
shopping,4,,
utiles,4,,
sports,4,,
discussion,4,,
parlé,4,,
bilan,4,,
bonjour,4,,
registre,4,,
frère,4,,
avion,4,,
amusant,4,,
griffe,4,,
english,4,,
word,4,,
rêvasserie,4,,
méditation,4,,
rêve,4,,
torte,4,,
botte,4,,
marcher,4,,
mangé,4,,
marché,4,,
liaisons,4,,
courts,4,,
apparat,4,,
elsewhere,4,,
ciel,4,,
pensez,4,,
soutenir,4,,
voyelle,4,,
equivalent,4,,
rôder,4,,
ipa,4,,
clubs,4,,
parisienne,4,,
contrepoints,3,,
pensée,3,,
conduire,3,,
diffusion,3,,
publique,3,,
prétexte,3,,
violence,3,,
principes,3,,
légal,3,,
conséquences,3,,
causer,3,,
communautés,3,,
favorisent,3,,
exclusion,3,,
défendre,3,,
intéressants,3,,
aborder,3,,
papoter,3,,
tailler,3,,
bavette,3,,
offre,3,,
facilitant,3,,
emploi,3,,
affectant,3,,
habitants,3,,
déplacements,3,,
claires,3,,
équipe,3,,
facilitent,3,,
polarisation,3,,
liens,3,,
sein,3,,
communauté,3,,
freiner,3,,
essentielle,3,,
garantir,3,,
vivant,3,,
haineux,3,,
discriminatoires,3,,
dignité,3,,
numérique,3,,
écrans,3,,
sommeil,3,,
professionnelles,3,,
rareté,3,,
industries,3,,
détente,3,,
active,3,,
enseignement,3,,
lycée,3,,
développe,3,,
consacré,3,,
médecine,3,,
publicité,3,,
perspective,3,,
large,3,,
citoyens,3,,
informer,3,,
rester,3,,
partageant,3,,
exposition,3,,
formation,3,,
accessibles,3,,
comparaison,3,,
influence,3,,
promouvoir,3,,
modes,3,,
irréalistes,3,,
technologique,3,,
croissant,3,,
énergétique,3,,
carbone,3,,
améliorent,3,,
rendent,3,,
longs,3,,
musées,3,,
urbaine,3,,
diversifié,3,,
échanges,3,,
urbains,3,,
mener,3,,
recyclage,3,,
écologique,3,,
crée,3,,
attire,3,,
espaces,3,,
verts,3,,
menace,3,,
surcharge,3,,
planifiée,3,,
smart,3,,
innerfrench,3,,
podcast,3,,
hospitalisation,3,,
route,3,,
pompiers,3,,
service,3,,
fonctionnement,3,,
différences,3,,
financement,3,,
sécurité,3,,
enfin,3,,
réformes,3,,
étudier,3,,
composer,3,,
couvre,3,,
chambre,3,,
meilleurs,3,,
profondes,3,,
adaptation,3,,
prochaines,3,,
grammaire,3,,
insuffisance,3,,
premières,3,,
évoquer,3,,
mentionné,3,,
actuel,3,,
décrivant,3,,
suggère,3,,
collègue,3,,
animal,3,,
avantage,3,,
remettre,3,,
déménagement,3,,
augmentation,3,,
repos,3,,
ordinateur,3,,
pouvant,3,,
horaire,3,,
facilement,3,,
horaires,3,,
coûts,3,,
électricité,3,,
contrainte,3,,
complexe,3,,
suivi,3,,
accrue,3,,
activité,3,,
présence,3,,
assurer,3,,
lieux,3,,
adoption,3,,
épuisement,3,,
good,3,,
journaux,3,,
lobster,3,,
old,3,,
quotidien,3,,
alimentaires,3,,
recettes,3,,
culinaires,3,,
saisons,3,,
voyages,3,,
progrès,3,,
personnels,3,,
viande,3,,
locaux,3,,
effet,3,,
détourner,3,,
inclut,3,,
étant,3,,
étranger,3,,
toutefois,3,,
vision,3,,
payés,3,,
lotis,3,,
espagne,3,,
comparable,3,,
européens,3,,
intenses,3,,
retraite,3,,
départ,3,,
royaume,3,,
uni,3,,
différemment,3,,
élément,3,,
souligne,3,,
passage,3,,
cependant,3,,
accordent,3,,
atteindre,3,,
sort,3,,
germaniques,3,,
équivalents,3,,
bad,3,,
générale,3,,
reflétant,3,,
ancienne,3,,
vide,3,,
émotionnel,3,,
subjective,3,,
expériences,3,,
acceptation,3,,
extérieure,3,,
standards,3,,
psychologique,3,,
favorisant,3,,
repose,3,,
symbolise,3,,
progéniture,3,,
potentiellement,3,,
aspects,3,,
fumée,3,,
raisons,3,,
vivante,3,,
introduction,3,,
emprunt,3,,
ouverte,3,,
locuteurs,3,,
richesse,3,,
mondiale,3,,
sert,3,,
étatique,3,,
images,3,,
inadaptées,3,,
actes,3,,
structures,3,,
transformer,3,,
administration,3,,
approprié,3,,
pensées,3,,
héritages,3,,
voie,3,,
